question-1,B&M,B&M+,B&M^2,DSBA,DSBA+,DSBA^2,Eco,Eco+,Eco^2,Eco Mgmt,Eco Mgmt+,Eco Mgmt^2,Eco Pol,Eco Pol+,Eco Pol^2,PIR,PIR+,PIR^2,Psy,Psy+,Psy^2,OB
question-14,B&M,B&M+,B&M^2,DSBA,DSBA+,DSBA^2,Eco,Eco+,Eco^2,Eco Mgmt,Eco Mgmt+,Eco Mgmt^2,Eco Pol,Eco Pol+,Eco Pol^2,PIR,PIR+,PIR^2,Psy,Psy+,Psy^2,OB
Strongly agree,0,2,3,0,2,3,0,2,3,0,2,3,0,2,3,0,2,3,0,2,3,0
Agree,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0
Neither agree nor disagree,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Disagree,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Strongly disagree,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
question-15,B&M,B&M+,B&M^2,DSBA,DSBA+,DSBA^2,Eco,Eco+,Eco^2,Eco Mgmt,Eco Mgmt+,Eco Mgmt^2,Eco Pol,Eco Pol+,Eco Pol^2,PIR,PIR+,PIR^2,Psy,Psy+,Psy^2,OB
Strongly agree,1,2,4,2,3,5,1,2,4,1,2,4,0,1,3,0,1,3,0,1,3,0
Agree,1,2,2,2,3,3,1,2,2,1,2,2,0,1,1,0,1,1,0,1,1,0
Neither agree nor disagree,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Disagree,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,1,1,2,1,1,0
Strongly disagree,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,4,2,2,4,2,2,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
question-16,B&M,B&M+,B&M^2,DSBA,DSBA+,DSBA^2,Eco,Eco+,Eco^2,Eco Mgmt,Eco Mgmt+,Eco Mgmt^2,Eco Pol,Eco Pol+,Eco Pol^2,PIR,PIR+,PIR^2,Psy,Psy+,Psy^2,OB
Strongly agree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Agree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Neither agree nor disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strongly disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
question-17,B&M,B&M+,B&M^2,DSBA,DSBA+,DSBA^2,Eco,Eco+,Eco^2,Eco Mgmt,Eco Mgmt+,Eco Mgmt^2,Eco Pol,Eco Pol+,Eco Pol^2,PIR,PIR+,PIR^2,Psy,Psy+,Psy^2,OB
Strongly agree,0,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0,1,3,5
Agree,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,5
Neither agree nor disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disagree,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Strongly disagree,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
question-18,B&M,B&M+,B&M^2,DSBA,DSBA+,DSBA^2,Eco,Eco+,Eco^2,Eco Mgmt,Eco Mgmt+,Eco Mgmt^2,Eco Pol,Eco Pol+,Eco Pol^2,PIR,PIR+,PIR^2,Psy,Psy+,Psy^2,OB
Strongly agree,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,2,3,4,4
Agree,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,2,0
Neither agree nor disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disagree,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Strongly disagree,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0
